Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2006,1,2006-01-15 15:00:00,THEFT,FROM BUILDING,SPORTS ARENA/STADIUM,False,33,,
2006,1,2006-01-18 06:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,33,,
2006,1,2006-01-02 00:01:00,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,33,,
2006,1,2006-01-14 19:00:00,THEFT,OVER $500,RESIDENCE-GARAGE,False,33,,
2006,1,2006-01-16 20:00:44,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,False,33,,
2006,1,2006-01-01 08:00:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,33,,
2006,1,2006-01-04 17:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,False,33,,
2006,1,2006-01-29 02:12:00,HOMICIDE,FIRST DEGREE MURDER,TAVERN,False,33,41.853853291,-87.625519384
2006,1,2006-01-01 08:00:00,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,False,33,41.858594819000004,-87.62721442700001
2006,1,2006-01-01 07:10:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,33,41.851949553000004,-87.618995915
2006,1,2006-01-01 21:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,33,41.856277428,-87.62389589
2006,1,2006-01-02 07:00:00,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,33,41.85102174,-87.618954852
2006,1,2006-01-02 13:00:00,THEFT,$500 AND UNDER,STREET,False,33,41.857928781,-87.62023985799999
2006,1,2006-01-02 00:00:00,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,33,41.85516001,-87.620711095
2006,1,2006-01-02 12:00:00,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,True,33,41.860223119000004,-87.624696596
2006,1,2006-01-02 15:00:00,THEFT,FROM BUILDING,RESTAURANT,False,33,41.858544503000005,-87.62394792100001
2006,1,2006-01-03 22:39:46,ASSAULT,SIMPLE,RESTAURANT,False,33,41.856138405,-87.627164364
2006,1,2006-01-03 09:04:50,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,33,41.852051628000005,-87.627069839
2006,1,2006-01-02 15:25:17,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,33,41.850517353,-87.627031661
2006,1,2006-01-02 14:15:00,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,33,41.848398456,-87.62697789399999
2006,1,2006-01-03 21:50:00,BATTERY,SIMPLE,STREET,False,33,41.853638016,-87.627103775
2006,1,2006-01-01 20:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,33,41.863220758000004,-87.625735464
2006,1,2006-01-02 22:53:00,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CHA HALLWAY/STAIRWELL/ELEVATOR,True,33,41.852216317,-87.62707536799999
2006,1,2006-01-04 14:19:47,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,False,33,41.850517353,-87.627031661
2006,1,2006-01-03 21:20:21,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,33,41.848549403,-87.62697990299999
2006,1,2006-01-04 10:55:08,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,33,41.852051628000005,-87.627069839
