Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2005,1,2005-01-01 17:06:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,2,,
2005,1,2005-01-01 00:01:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,2,,
2005,1,2005-01-01 00:00:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,2,,
2005,1,2005-01-01 10:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,2,,
2005,1,2005-01-07 20:00:00,THEFT,$500 AND UNDER,STREET,False,2,41.98767052,-87.696872273
2005,1,2005-01-01 15:00:00,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,2,41.999597617,-87.686709882
2005,1,2005-01-01 17:30:41,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,2,41.997423522,-87.707377491
2005,1,2005-01-01 21:51:54,ASSAULT,SIMPLE,RESIDENCE,False,2,41.993038339,-87.68270777299999
2005,1,2005-01-01 17:22:19,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,2,41.99775883,-87.688141176
2005,1,2005-01-01 03:14:33,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2,42.013214164000004,-87.68620400299999
2005,1,2005-01-01 01:16:31,BATTERY,SIMPLE,STREET,True,2,42.01868238,-87.688963805
2005,1,2005-01-01 19:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2,42.011146341,-87.70071163200001
2005,1,2005-01-01 13:00:00,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,True,2,41.987753261,-87.69201612799999
2005,1,2005-01-01 22:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,42.007311087,-87.682746328
2005,1,2005-01-02 20:00:00,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,2,41.992642145,-87.70068890600001
2005,1,2005-01-02 11:45:00,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,2,41.998138984,-87.69478137799999
2005,1,2005-01-02 19:17:49,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,2,41.998243462,-87.687459367
2005,1,2005-01-02 20:34:40,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,False,2,41.992868393,-87.70190795100001
2005,1,2005-01-02 23:07:52,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,2,41.997574035,-87.69880431899999
2005,1,2005-01-02 03:00:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2,41.997888171,-87.68044002299999
2005,1,2005-01-02 12:15:30,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2,41.993013866999995,-87.70191387
