Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2008,1,2008-01-16 00:00:00,THEFT,$500 AND UNDER,STREET,False,76,,
2008,1,2008-01-01 08:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,ATHLETIC CLUB,False,76,,
2008,1,2008-01-22 09:45:00,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,76,41.986930009,-87.84031964399999
2008,1,2008-01-02 10:20:00,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,76,41.97852489,-87.83658904100001
2008,1,2008-01-03 15:35:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,76,41.973771478,-87.842226779
2008,1,2008-01-03 10:40:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,76,41.977609479,-87.846467101
2008,1,2008-01-01 11:20:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-05 02:40:00,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,False,76,41.986989467,-87.840745861
2008,1,2008-01-05 22:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,76,41.976810670999996,-87.844472542
2008,1,2008-01-06 17:30:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-02 09:45:00,THEFT,POCKET-PICKING,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-07 14:50:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-06 12:01:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,AIRPORT/AIRCRAFT,True,76,41.976290414,-87.905227221
2008,1,2008-01-07 14:00:00,CRIMINAL DAMAGE,TO VEHICLE,OTHER,False,76,41.975988703,-87.84477671399999
2008,1,2008-01-08 18:30:00,THEFT,OVER $500,STREET,False,76,41.975977391,-87.84534315200001
2008,1,2008-01-01 15:00:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-02 11:20:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-02 14:00:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-03 12:30:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-03 01:00:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,HOTEL/MOTEL,True,76,41.976290414,-87.905227221
2008,1,2008-01-03 15:25:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-03 19:00:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,AIRPORT/AIRCRAFT,True,76,41.976290414,-87.905227221
2008,1,2008-01-01 01:00:00,THEFT,OVER $500,OTHER,False,76,41.977632364,-87.841535129
2008,1,2008-01-04 09:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CREDIT UNION,False,76,42.008885217,-87.906473187
2008,1,2008-01-04 13:30:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-04 17:45:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-04 22:20:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-05 06:45:00,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,True,76,41.976290414,-87.905227221
2008,1,2008-01-05 16:10:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-05 16:07:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,True,76,41.976290414,-87.905227221
2008,1,2008-01-05 14:00:00,THEFT,$500 AND UNDER,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-06 13:30:00,THEFT,POCKET-PICKING,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-06 16:25:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-06 17:50:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-07 13:50:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-07 18:10:00,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-06 15:45:00,BATTERY,SIMPLE,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
2008,1,2008-01-09 09:00:00,THEFT,OVER $500,AIRPORT/AIRCRAFT,False,76,41.976290414,-87.905227221
