Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2001,1,2001-01-01 00:01:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,52,,
2001,1,2001-01-01 02:00:00,THEFT,OVER $500,RESIDENCE,False,52,41.698929811,-87.53151350200001
2001,3,2001-03-06 22:30:00,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,52,41.697785076,-87.527148345
2001,4,2001-04-05 12:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,52,41.716927887,-87.537556829
2001,4,2001-04-13 22:37:00,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,52,41.709121141,-87.536488496
2001,5,2001-05-26 13:00:00,ASSAULT,SIMPLE,SIDEWALK,False,52,41.719380465,-87.536643809
2001,6,2001-06-01 00:01:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,52,41.706990169,-87.53906370899999
2001,6,2001-06-17 20:46:00,HOMICIDE,FIRST DEGREE MURDER,YARD,True,52,41.703934124,-87.534080671
2001,10,2001-10-30 08:00:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,52,41.707773026999995,-87.538772079
2001,11,2001-11-01 00:00:00,THEFT,OVER $500,RESIDENCE,False,52,41.702862413000005,-87.53151225100001
2001,11,2001-11-18 14:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,BANK,False,52,41.702636225999996,-87.53885363299999
2001,12,2001-12-20 13:15:00,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,52,41.719047040999996,-87.534076576
2001,12,2001-12-17 21:00:00,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",ALLEY,False,52,41.695384836,-87.53634684299999
