Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2001,1,2001-01-01 11:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,45,,
2001,2,2001-02-20 00:01:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,45,41.744323408,-87.584792666
2001,3,2001-03-30 07:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,45,41.747838214,-87.59658095799999
2001,3,2001-03-24 03:00:00,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,True,45,41.73938959,-87.585703691
2001,6,2001-06-22 02:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,False,45,41.742533156,-87.582541634
2001,8,2001-08-15 12:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,45,41.74222061,-87.589338731
2001,8,2001-08-20 20:05:20,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,False,45,41.751313108000005,-87.59198229399999
2001,10,2001-10-28 12:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,45,41.746507503000004,-87.59065608200001
2001,11,2001-11-16 19:00:56,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,45,41.744149787,-87.58594528
2001,11,2001-11-27 17:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,45,41.747885825,-87.591611299
2001,11,2001-11-11 00:01:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,45,41.73990718,-87.56968197799999
2001,12,2001-12-18 23:55:00,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,45,41.737871237,-87.582222212
2001,12,2001-12-31 00:01:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,45,41.750049044,-87.59044668700001
