Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2001,1,2001-01-27 16:00:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,74,41.689731718000004,-87.705488951
2001,3,2001-03-16 12:00:00,DECEPTIVE PRACTICE,BOGUS CHECK,COMMERCIAL / BUSINESS OFFICE,False,74,41.686919161999995,-87.720303427
2001,3,2001-03-01 13:00:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"SCHOOL, PUBLIC, BUILDING",False,74,41.691192471,-87.71780610299999
2001,5,2001-05-30 15:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,74,41.690745749,-87.706745901
2001,6,2001-06-01 12:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,74,41.707358655,-87.718702989
2001,10,2001-10-18 00:00:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,74,41.695222689,-87.6999066
2001,10,2001-10-01 00:01:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,74,41.692617521,-87.70325672
2001,11,2001-11-23 23:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,74,41.693164816,-87.70597915200001
2001,11,2001-11-16 00:00:00,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,False,74,41.691393338000005,-87.719444469
2001,12,2001-12-08 22:40:00,ROBBERY,ARMED: HANDGUN,RESIDENCE-GARAGE,False,74,41.691054775,-87.707050453
