Year,Month,Date,Primary Type,Description,Location Description,Arrest,Community Area,Latitude,Longitude
2017,1,2017-01-08 03:10:00,THEFT,FROM BUILDING,BAR OR TAVERN,False,8,,
2017,1,2017-01-09 18:15:00,THEFT,FROM BUILDING,COLLEGE/UNIVERSITY GROUNDS,False,8,,
2017,1,2017-01-02 10:45:00,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,8,,
2017,1,2017-01-06 09:00:00,THEFT,$500 AND UNDER,STREET,False,8,,
2017,1,2017-01-14 02:35:00,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,8,,
2017,1,2017-01-15 12:00:00,THEFT,FROM BUILDING,PARKING LOT/GARAGE(NON.RESID.),False,8,,
2017,1,2017-01-16 16:00:00,THEFT,FROM BUILDING,MEDICAL/DENTAL OFFICE,False,8,,
2017,1,2017-01-22 18:00:00,THEFT,FROM BUILDING,APARTMENT,False,8,,
2017,1,2017-01-25 17:20:00,THEFT,POCKET-PICKING,CTA BUS,False,8,,
2017,1,2017-01-10 14:20:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,8,,
2017,1,2017-01-14 03:00:00,ROBBERY,ARMED: HANDGUN,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",False,8,,
2017,1,2017-01-09 20:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,8,,
2017,1,2017-01-24 15:00:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,8,,
2017,1,2017-01-30 21:55:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,8,,
2017,1,2017-01-01 00:01:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,8,41.908430535,-87.638509526
